manager_true_ultimate_parent_organisation_name,total
Administraciones Bancarias,137.5577825167928
Amarillo National Bancorp Inc,61.667627593423546
CAF Securities Co Ltd,12.712236128806426
City Merchants Bank Ltd,130.78072214837235
Corretaje de Valores SA,63.738996219799546
Directly Placed,22.87119369503116
Grupo Cibest SA,673.211300221933
Ibrahim Holdings (Pvt) Ltd,86.91564855380224
Not Available,2913.2806475942216
Self-Arranged,43909.898686885266
Shareholder,209.4533538579869
Syndicate Bank,27.618702221614534
Undisclosed Advisor,67277.87835546909
Unknown,882.039515198169
XP Control LLC,66.59237989167596
NA,499.8392462192761
