financial_flow_link_strength,amount_usd_m,pct,case
High,427.2157696204172,0.35%,flows_bolivia_soya_beans
Medium,114926.75557348038,94.40%,flows_bolivia_soya_beans
Low,6384.940562966538,5.24%,flows_bolivia_soya_beans
High,33816.83953363688,30.81%,flows_brazil_cattle_meat
Medium,59122.560895559865,53.87%,flows_brazil_cattle_meat
Low,16816.303106865762,15.32%,flows_brazil_cattle_meat
Medium,27757.895293233858,78.30%,flows_brazil_oil_palm_fruit
Low,7692.152701426541,21.70%,flows_brazil_oil_palm_fruit
High,38845.58120020445,2.98%,flows_brazil_soya_beans
Medium,373346.1224282197,28.65%,flows_brazil_soya_beans
Low,890926.1951324984,68.37%,flows_brazil_soya_beans
High,40555.81190310708,6.10%,flows_brazil_sugar_cane
Medium,184424.6566110317,27.73%,flows_brazil_sugar_cane
Low,440015.98501516326,66.17%,flows_brazil_sugar_cane
High,3798.1020476035237,23.29%,flows_colombia_cattle_meat
Medium,12509.87125625488,76.71%,flows_colombia_cattle_meat
High,363.74577901378683,100.00%,flows_colombia_cocoa_beans
High,17903.169408190985,12.32%,flows_colombia_coffee_green
Medium,21001.3480115361,14.46%,flows_colombia_coffee_green
Low,106364.1950606386,73.22%,flows_colombia_coffee_green
High,303.7731835383475,0.05%,flows_ecuador_cocoa_beans
Medium,460753.93111158046,78.55%,flows_ecuador_cocoa_beans
Low,125546.1852420693,21.40%,flows_ecuador_cocoa_beans
High,684.568152868601,3.47%,flows_peru_cocoa_beans
Medium,19032.44492056433,96.53%,flows_peru_cocoa_beans
High,17903.169408190985,8.57%,flows_peru_coffee_green
Medium,71499.77878136461,34.22%,flows_peru_coffee_green
Low,119542.30041335797,57.21%,flows_peru_coffee_green
