producer_country,commodity,total_usd_m_high_conf,total_usd_m_medium_conf,total_usd_m_low_conf
Bolivia,Soya beans,542.3928299628175,97102.46013243601,105606.21504471736
Brazil,Cattle meat,21905.880518461374,76215.89723107613,94522.6816638517
Brazil,Oil palm fruit,0,4227.934486070819,35450.047994660425
Brazil,Soya beans,10800.59194254575,321720.227074149,1100237.491589965
Brazil,Sugar cane,11247.525878962,188418.03376992262,562061.0018120962
Colombia,Cattle meat,3783.77172149609,9760.31700656703,14471.92194804225
Colombia,"Coffee, green",0,26742.262963388857,124454.8641811396
Ecuador,Cocoa beans,542.3928299628175,356243.4013243996,465070.17437359586
Peru,Cocoa beans,0,395.30859143961146,15787.825298756681
Peru,"Coffee, green",0,72320.63853614347,175307.5205483484
