manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Australia,Medium,206.6868501822165,206.6868501822165,13,0.005830368698325829
Bahrain,Medium,24.40139651378236,24.40139651378236,15,6.883318329345495e-4
Brazil,Low,2033.420952067308,4227.934486070821,4,0.11926456310320491
Brazil,Medium,2194.5135340035126,4227.934486070821,4,0.11926456310320491
Canada,Low,40.94886196144536,3937.4386452253375,6,0.11107005118352462
Canada,Medium,3896.489783263892,3937.4386452253375,6,0.11107005118352462
China,Medium,779.8963656695807,779.8963656695807,10,0.021999867695159415
France,Low,480.8592790035283,4117.229415621603,5,0.11614171626063102
France,Medium,3636.3701366180744,4117.229415621603,5,0.11614171626063102
Germany,Low,580.9739936622317,1465.0713661298182,9,0.04132776819795818
Germany,Medium,884.0973724675864,1465.0713661298182,9,0.04132776819795818
Italy,Medium,520.100626318555,520.100626318555,11,0.014671365928669373
Japan,Low,681.4605564019406,4761.5523946540725,2,0.1343172340802266
Japan,Medium,4080.091838252132,4761.5523946540725,2,0.1343172340802266
Korea; Republic (S. Korea),Medium,1804.7228835256346,1804.7228835256346,7,0.050908898171237074
Netherlands,Low,76.63419165598273,237.68344459523811,12,0.0067047425332411
Netherlands,Medium,161.04925293925538,237.68344459523811,12,0.0067047425332411
Spain,Low,536.8197040906762,1792.9618922759212,8,0.050577135820690046
Spain,Medium,1256.142188185245,1792.9618922759212,8,0.050577135820690046
Switzerland,Medium,70.16375730305106,70.16375730305106,14,0.00197922883809972
United Kingdom,Low,1183.459920944557,4563.902371874688,3,0.12874178259397884
United Kingdom,Medium,3380.4424509301307,4563.902371874688,3,0.12874178259397884
United States of America,Low,2077.575241638863,6940.302098700049,1,0.19577694506211712
United States of America,Medium,4862.726857061186,6940.302098700049,1,0.19577694506211712
